Year,United States,Australia,Canada,France,Germany,Italy,Japan,"Korea, Republic of",Mexico,Netherlands,New Zealand,South Africa,Spain,Sweden,Turkey,United Kingdom,group
1993,8940,939,1533,2525,3113,2296,1600,571,NA,437,167,NA,3230,416,NA,2929,unemployment
1994,7996,856,1372,2690,3318,2493,1720,504,NA,492,147,NA,3455,426,NA,2676,unemployment
1995,7404,764,1246,2549,3200,2616,1920,430,NA,523,116,NA,3279,404,NA,2436,unemployment
1996,7236,779,1282,2710,3505,2619,2040,435,NA,489,117,NA,3192,441,NA,2296,unemployment
1997,6739,778,1247,2745,3907,2641,2110,568,NA,423,129,NA,3007,445,NA,1988,unemployment
1998,6210,721,1160,2652,3693,2681,2540,1490,NA,337,145,NA,2727,368,NA,1788,unemployment
1999,5880,652,1072,2594,3333,2593,2810,1374,NA,277,134,NA,2310,313,NA,1727,unemployment
2000,5692,602,955,2239,3065,2408,2920,979,NA,246,118,NA,2095,260,NA,1587,unemployment
2001,6801,658,1026,2046,3110,2173,3020,899,NA,206,106,NA,1904,227,NA,1489,unemployment
2002,8378,630,1146,2107,3396,2058,3216,752,NA,254,106,NA,2155,234,NA,1529,unemployment
2003,8774,599,1146,2294,3661,2050,2985,818,NA,341,98,NA,2242,264,NA,1490,unemployment
2004,8149,551,1091,2411,4107,1960,2726,860,NA,419,85,NA,2214,300,NA,1426,unemployment
2005,7591,531,1024,2432,4573,1889,2476,887,1527,441,83,NA,1913,361,NA,1467,unemployment
2006,7001,516,949,2432,4257,1673,2346,827,1573,366,85,NA,1837,332,1952,1674,unemployment
2007,7078,484,922,2223,3601,1506,2400,783,1655,306,83,NA,1834,293,2019,1654,unemployment
2008,8924,483,951,2064,3136,1692,2410,769,1801,268,95,4104,2591,296,2279,1783,unemployment
2009,14265,649,1326,2575,3228,1945,3120,889,2521,327,141,4215,4150,404,3053,2390,unemployment
2010,14825,617,1294,2640,2946,2102,3100,920,2572,390,152,4332,4632,420,2696,2476,unemployment
2011,13747,611,1196,2612,2502,2108,2735,855,2561,389,155,4397,4999,386,2324,2564,unemployment
2012,12506,635,1171,2824,2317,2744,2490,820,2512,469,165,4541,5769,398,2202,2547,unemployment
1970,4.9,1.7,5.7,2.5,0.5,3.2,1.2,4.4,NA,NA,NA,NA,NA,1.5,NA,NA,unemployment_rates
1971,5.9,1.9,6.2,2.8,0.6,3.3,1.3,4.4,NA,NA,NA,NA,NA,2.6,NA,4.2,unemployment_rates
1972,5.6,2.6,6.2,2.9,0.7,3.8,1.4,4.5,NA,NA,NA,NA,NA,2.7,NA,4.4,unemployment_rates
1973,4.9,2.3,5.6,2.8,0.7,3.7,1.3,3.9,NA,3.1,NA,NA,NA,2.5,NA,3.7,unemployment_rates
1974,5.6,2.7,5.3,2.9,1.6,3.1,1.4,4,NA,3.6,NA,NA,NA,2,NA,3.7,unemployment_rates
1975,8.5,4.9,6.9,3.6,3.4,3.4,1.9,4.1,NA,5.1,NA,NA,NA,1.6,NA,4.5,unemployment_rates
1976,7.7,4.8,6.9,4,3.4,3.9,2,3.9,NA,5.4,NA,NA,NA,1.6,NA,5.4,unemployment_rates
1977,7.1,5.6,7.8,4.5,3.4,4.1,2,3.8,NA,4.9,NA,NA,5.2,1.8,NA,5.6,unemployment_rates
1978,6.1,6.3,8.1,4.6,3.3,4.1,2.3,3.2,NA,5.1,NA,NA,6.9,2.2,NA,5.5,unemployment_rates
1979,5.8,6.3,7.3,5.2,2.9,4.4,2.1,3.8,NA,5.1,NA,NA,8.6,2.1,NA,5.4,unemployment_rates
1980,7.1,6.1,7.3,5.6,2.8,4.4,2,5.2,NA,6,NA,NA,11.3,2,NA,6.8,unemployment_rates
1981,7.6,5.8,7.3,6.6,4,4.9,2.2,4.5,NA,8.9,NA,NA,13.8,2.5,NA,9.7,unemployment_rates
1982,9.7,7.2,10.7,6.9,5.6,5.4,2.4,4.4,NA,10.2,NA,NA,15.6,3.1,NA,10.8,unemployment_rates
1983,9.6,10,11.6,7.3,6.9,5.9,2.7,4.1,NA,11.4,NA,NA,16.9,3.5,NA,11.5,unemployment_rates
1984,7.5,9,10.9,8.5,7.1,5.9,2.8,3.8,NA,11.5,NA,NA,19.5,3.1,NA,11.8,unemployment_rates
1985,7.2,8.3,10.1,9,7.2,6,2.5,4,NA,9.6,NA,NA,20.7,2.8,NA,11.4,unemployment_rates
1986,7,8.1,9.2,9,6.6,7.5,2.7,3.8,NA,10,4.2,NA,20.2,2.6,NA,11.4,unemployment_rates
1987,6.2,8.1,8.4,9.2,6.3,7.9,2.6,3.1,NA,9.8,4.2,NA,19.3,2.3,NA,10.5,unemployment_rates
1988,5.5,7.2,7.4,8.9,6.3,7.9,2.4,2.5,NA,9.3,5.7,NA,18.3,1.9,NA,8.6,unemployment_rates
1989,5.3,6.2,7.1,8.3,5.7,7.8,2.2,2.6,NA,8.4,7.3,NA,16.2,1.6,NA,7.3,unemployment_rates
1990,5.6,6.9,7.7,8,5,7,2,2.4,NA,7.6,8,NA,15.2,1.8,NA,7.1,unemployment_rates
1991,6.8,9.6,9.8,8.2,5.6,6.9,2,2.4,NA,7.1,10.6,NA,15.1,3.2,NA,8.9,unemployment_rates
1992,7.5,10.8,10.6,9.1,6.7,7.3,2.1,2.5,NA,6.8,10.6,NA,17,5.8,NA,10,unemployment_rates
1993,6.9,10.9,10.8,10.2,8,9.8,2.4,2.9,NA,6.3,9.8,NA,20.9,9.4,NA,10.4,unemployment_rates
1994,6.1,9.7,9.6,10.8,8.5,10.7,2.6,2.5,NA,6.9,8.4,NA,22.2,9.6,NA,9.5,unemployment_rates
1995,5.6,8.5,8.6,10.2,8.2,11.3,2.9,2.1,NA,7.1,6.5,NA,20.9,9.1,NA,8.7,unemployment_rates
1996,5.4,8.5,8.8,10.7,9,11.3,3.1,2,NA,6.6,6.3,NA,20,9.9,NA,8.1,unemployment_rates
1997,4.9,8.5,8.4,10.8,9.9,11.3,3.1,2.6,NA,5.6,6.8,NA,18.5,10.1,NA,7,unemployment_rates
1998,4.5,7.7,7.7,10.4,9.3,11.4,3.8,7,NA,4.4,7.7,NA,16.5,8.4,NA,6.3,unemployment_rates
1999,4.2,6.9,7,10.1,8.5,11,4.2,6.3,NA,3.5,7,NA,13.7,7.1,NA,6,unemployment_rates
2000,4,6.3,6.1,8.6,7.8,10.1,4.4,4.4,NA,3.1,6.1,NA,12,5.8,NA,5.5,unemployment_rates
2001,4.7,6.8,6.5,7.8,7.9,9.1,4.5,4,NA,2.5,5.4,NA,10.6,5,NA,5.1,unemployment_rates
2002,5.8,6.4,7,8,8.6,8.6,4.9,3.3,NA,3,5.3,NA,11.5,5.1,NA,5.2,unemployment_rates
2003,6,5.9,6.9,8.6,9.3,8.5,4.6,3.6,NA,4.1,4.8,NA,11.5,5.8,NA,5,unemployment_rates
2004,5.5,5.4,6.4,9,10.3,8.1,4.2,3.7,NA,5,4,NA,11,6.6,NA,4.8,unemployment_rates
2005,5.1,5,6,9,11.2,7.8,3.8,3.7,3.7,5.2,3.8,NA,9.2,7.7,NA,4.9,unemployment_rates
2006,4.6,4.8,5.5,8.9,10.3,6.9,3.6,3.4,3.7,4.3,3.8,NA,8.6,7,8.8,5.5,unemployment_rates
2007,4.6,4.4,5.2,8.1,8.7,6.2,3.6,3.2,3.8,3.5,3.7,NA,8.3,6.1,9,5.4,unemployment_rates
2008,5.8,4.2,5.3,7.5,7.6,6.8,3.7,3.2,4.1,3,4.2,22.8,11.4,6.1,9.9,5.7,unemployment_rates
2009,9.3,5.6,7.3,9.2,7.8,7.9,4.8,3.6,5.6,3.7,6.1,23.9,18.1,8.3,12.8,7.6,unemployment_rates
2010,9.6,5.2,7.1,9.4,7.1,8.5,4.7,3.7,5.4,4.5,6.5,24.9,20.2,8.5,10.9,7.9,unemployment_rates
2011,8.9,5.1,6.5,9.3,5.9,8.5,4.2,3.4,5.3,4.5,6.5,24.9,21.8,7.7,9,8.1,unemployment_rates
2012,8.1,5.2,6.3,10,5.5,10.8,3.9,3.2,5.1,5.3,6.9,25.1,25.2,7.9,8.3,8,unemployment_rates
1970,4.4,1.1,5.6,1.5,0.5,2.5,1.2,5.3,NA,NA,NA,NA,NA,1.4,NA,NA,Unemployment rates for men
1971,5.3,1.3,6,1.7,0.5,2.5,1.2,5.1,NA,NA,NA,NA,NA,2.4,NA,3.6,Unemployment rates for men
1972,5,1.9,5.8,1.8,0.7,2.9,1.5,5.6,NA,NA,NA,NA,NA,2.5,NA,3.9,Unemployment rates for men
1973,4.2,1.6,4.9,1.6,0.6,2.7,1.3,5,NA,2.6,NA,NA,NA,2.2,NA,3,Unemployment rates for men
1974,4.9,1.9,4.8,1.8,1.5,2.3,1.4,4.8,NA,2.8,NA,NA,NA,1.7,NA,3,Unemployment rates for men
1975,7.9,3.8,6.2,2.7,3.3,2.5,1.8,5,NA,3.9,NA,NA,NA,1.3,NA,4.1,Unemployment rates for men
1976,7.1,3.9,6.3,2.8,3,2.7,2.2,5,NA,4.1,NA,NA,NA,1.3,NA,5.2,Unemployment rates for men
1977,6.3,4.6,7.3,3.2,2.9,2.8,2,4.6,NA,3.8,NA,NA,5.1,1.5,NA,5.3,Unemployment rates for men
1978,5.3,5.4,7.5,3.4,2.7,2.8,2.2,3.7,NA,3.6,NA,NA,6.5,2.1,NA,5.1,Unemployment rates for men
1979,5.1,5.2,6.7,3.9,2.3,3,1.9,4.7,NA,3.6,NA,NA,8.1,1.9,NA,4.9,Unemployment rates for men
1980,6.9,5.1,6.9,3.9,2.3,2.9,1.7,6.2,NA,4.2,NA,NA,10.6,1.7,NA,6.7,Unemployment rates for men
1981,7.4,4.8,7,4.9,3.4,3.3,2,5.7,NA,6.9,NA,NA,13,2.4,NA,10.3,Unemployment rates for men
1982,9.9,6.4,11.1,5.4,5,3.8,2.1,5.5,NA,8.6,NA,NA,14.4,3,NA,11.6,Unemployment rates for men
1983,9.9,9.7,12.2,5.8,6.2,4.1,2.5,5.2,NA,10.4,NA,NA,15.6,3.4,NA,12.2,Unemployment rates for men
1984,7.4,8.7,11.1,7,6.2,4.2,2.5,4.8,NA,10.4,NA,NA,18.2,3,NA,12,Unemployment rates for men
1985,7,7.9,10.2,7.6,6.2,4.2,2.2,5,NA,8.4,NA,NA,19.2,2.7,NA,11.8,Unemployment rates for men
1986,6.9,7.7,9.3,7.6,5.6,5.2,2.4,4.9,NA,7.9,3.7,NA,18.3,2.6,NA,11.8,Unemployment rates for men
1987,6.2,7.8,8.3,7.5,5.4,5.5,2.2,3.9,NA,7.3,4,NA,16,2.3,NA,10.9,Unemployment rates for men
1988,5.5,6.8,7.2,7.1,5.3,5.5,2,3,NA,7.3,5.8,NA,14.1,1.9,NA,8.8,Unemployment rates for men
1989,5.2,5.7,7,6.4,4.6,5.4,1.8,3.1,NA,6.5,7.4,NA,12.1,1.6,NA,7.4,Unemployment rates for men
1990,5.7,6.7,7.9,6.3,4.2,4.8,1.7,2.9,NA,5.6,8.4,NA,11.1,1.9,NA,7.4,Unemployment rates for men
1991,7.2,9.9,10.5,6.5,4.6,4.9,1.7,2.7,NA,5.4,11.2,NA,11.3,3.5,NA,9.9,Unemployment rates for men
1992,7.9,11.4,11.6,7.4,5.5,5.3,1.8,2.8,NA,5.4,11.4,NA,13.2,6.8,NA,11.8,Unemployment rates for men
1993,7.2,11.5,11.5,8.8,6.7,7.3,2.1,3.3,NA,5.3,10.4,NA,17.4,11,NA,12.4,Unemployment rates for men
1994,6.2,10,10.2,9.5,7.3,8.3,2.3,2.8,NA,6.1,8.8,NA,18.1,11,NA,11.3,Unemployment rates for men
1995,5.6,8.8,9.1,8.7,7.3,8.7,2.6,2.3,NA,5.9,6.4,NA,16.6,9.9,NA,10.1,Unemployment rates for men
1996,5.4,8.8,9.2,9.4,8.4,8.7,2.8,2.4,NA,5.3,6.3,NA,15.9,10.4,NA,9.5,Unemployment rates for men
1997,4.9,8.7,8.7,9.6,9.4,8.7,2.8,2.8,NA,4.5,6.8,NA,14.3,10.4,NA,7.9,Unemployment rates for men
1998,4.4,8,8,9.1,8.9,8.8,3.5,7.8,NA,3.5,7.8,NA,12.1,8.7,NA,7,Unemployment rates for men
1999,4.1,7.1,7.3,8.9,8.1,8.4,4,7.2,NA,2.8,7.3,NA,9.7,7.4,NA,6.6,Unemployment rates for men
2000,3.9,6.5,6.3,7.3,7.6,7.8,4.1,5,NA,2.4,6.3,NA,8.4,6.2,NA,6,Unemployment rates for men
2001,4.8,7,6.9,6.6,7.8,7,4.4,4.5,NA,2,5.5,NA,7.6,5.3,NA,5.7,Unemployment rates for men
2002,5.9,6.5,7.6,7.2,8.8,6.6,4.7,3.7,NA,2.7,5.1,NA,8.3,5.6,NA,5.8,Unemployment rates for men
2003,6.3,5.9,7.3,7.8,9.7,6.6,4.3,3.8,NA,4,4.5,NA,8.5,6.3,NA,5.6,Unemployment rates for men
2004,5.6,5.3,6.8,8.2,10.6,6.5,3.9,3.9,NA,4.8,3.6,NA,8.2,6.9,NA,5.2,Unemployment rates for men
2005,5.1,4.9,6.3,8.2,11.5,6.3,3.5,4,3.4,4.9,3.5,NA,7.1,7.8,NA,5.3,Unemployment rates for men
2006,4.6,4.7,5.8,8.2,10.4,5.5,3.3,3.8,3.4,3.8,3.6,NA,6.4,6.9,8.6,5.8,Unemployment rates for men
2007,4.7,4,5.6,7.6,8.6,5,3.2,3.7,3.5,3.1,3.4,NA,6.4,5.8,8.8,5.7,Unemployment rates for men
2008,6.1,4,5.8,7,7.5,5.6,3.2,3.6,3.9,2.8,4.1,19.8,10.1,5.8,9.6,6.2,Unemployment rates for men
2009,10.3,5.7,8.5,9.1,8.2,6.9,4.4,4.1,5.5,3.7,6.1,22,17.9,8.6,12.6,8.7,Unemployment rates for men
2010,10.5,5.1,7.8,9.1,7.6,7.7,4.5,4,5.5,4.4,6.2,22.8,19.9,8.6,10.4,8.7,Unemployment rates for men
2011,9.4,4.9,7,8.9,6.2,7.7,4.1,3.6,5.3,4.5,6.3,22.5,21.4,7.8,8.3,8.8,Unemployment rates for men
2012,8.2,5.2,6.7,9.9,5.7,10,3.6,3.4,5,5.4,6.5,22.9,24.9,8.2,7.7,8.4,Unemployment rates for men
1970,5.9,2.8,5.8,4.2,0.6,5.2,2.2,2.8,NA,NA,NA,NA,NA,1.7,NA,NA,unemployment rates for women
1971,6.9,3.1,6.6,4.6,0.8,5.2,3,3.2,NA,NA,NA,NA,NA,2.8,NA,5.1,unemployment rates for women
1972,6.6,3.9,7,4.7,0.8,6,3.4,2.4,NA,NA,NA,NA,NA,3,NA,5.1,unemployment rates for women
1973,6,3.6,6.7,4.6,0.9,6.2,2.6,2.1,NA,4.3,NA,NA,NA,2.8,NA,4.8,unemployment rates for women
1974,6.7,4.1,6.4,4.7,1.8,5.2,3.2,2.6,NA,5.6,NA,NA,NA,2.4,NA,4.7,unemployment rates for women
1975,9.3,7,8.1,5,3.5,5.7,3.9,2.5,NA,8.2,NA,NA,NA,2,NA,5.2,unemployment rates for women
1976,8.6,6.4,7.9,5.8,3.9,6.7,3.9,2,NA,8.6,NA,NA,NA,2,NA,5.9,unemployment rates for women
1977,8.2,7.5,8.8,6.4,4.3,6.8,4.3,2.4,NA,7.6,NA,NA,5.6,2.2,NA,6.2,unemployment rates for women
1978,7.2,7.9,9.1,6.5,4.2,6.9,4.3,2.2,NA,8.6,NA,NA,8,2.4,NA,6.2,unemployment rates for women
1979,6.8,8.2,8.3,7.3,3.9,7.4,4.1,2.4,NA,8.8,NA,NA,9.8,2.3,NA,6.2,unemployment rates for women
1980,7.4,7.9,7.9,8.1,3.6,7.4,3.3,3.5,NA,9.7,NA,NA,13,2.3,NA,7.1,unemployment rates for women
1981,7.9,7.4,7.8,9.1,4.8,8.1,3.5,2.4,NA,12.9,NA,NA,16,2.7,NA,8.8,unemployment rates for women
1982,9.4,8.5,10.1,9.1,6.5,8.7,3.5,2.5,NA,13.3,NA,NA,18.4,3.4,NA,9.5,unemployment rates for women
1983,9.2,10.4,10.8,9.3,7.9,9.4,3.7,2.2,NA,13.9,NA,NA,20.2,3.5,NA,10.5,unemployment rates for women
1984,7.6,9.5,10.7,10.4,8.5,9.3,3.3,2.2,NA,13.9,NA,NA,22.6,3.2,NA,11.6,unemployment rates for women
1985,7.4,8.8,9.9,10.8,8.6,9.4,3,2.4,NA,11.9,NA,NA,24.3,2.9,NA,11,unemployment rates for women
1986,7.1,8.7,9.1,10.8,8.1,11.8,3.2,2.1,NA,13.7,4.9,NA,24.4,2.7,NA,10.9,unemployment rates for women
1987,6.2,8.6,8.6,11.4,7.8,12.2,3.2,1.8,NA,13.7,4.4,NA,26.2,2.3,NA,10,unemployment rates for women
1988,5.6,7.9,7.6,11.2,7.8,12.3,2.9,1.7,NA,12.6,5.6,NA,26.4,1.9,NA,8.3,unemployment rates for women
1989,5.4,6.8,7.1,10.7,7.2,12.1,2.7,1.8,NA,11.6,7.1,NA,24.2,1.7,NA,7.1,unemployment rates for women
1990,5.5,7.2,7.5,10.2,6.1,10.8,2.5,1.8,NA,10.8,7.4,NA,22.9,1.8,NA,6.8,unemployment rates for women
1991,6.4,9.2,9,10.4,7,10.4,2.5,2,NA,9.6,9.8,NA,22.3,2.9,NA,7.5,unemployment rates for women
1992,7,10,9.4,11.2,8.4,10.8,2.5,2.1,NA,8.9,9.7,NA,23.8,4.6,NA,7.7,unemployment rates for women
1993,6.6,10.1,9.9,11.8,9.6,14,3,2.3,NA,7.7,8.9,NA,27.1,7.6,NA,7.9,unemployment rates for women
1994,6,9.4,8.8,12.4,10.1,14.7,3.1,2,NA,8.2,7.8,NA,29,8.2,NA,7.4,unemployment rates for women
1995,5.6,8.1,8,11.9,9.4,15.5,3.4,1.7,NA,8.8,6.5,NA,28.1,8.1,NA,6.9,unemployment rates for women
1996,5.4,8.2,8.2,12.2,9.6,15.3,3.5,1.6,NA,8.4,6.3,NA,26.7,9.3,NA,6.4,unemployment rates for women
1997,5,8.2,8,12.3,10.6,15.4,3.7,2.3,NA,7.1,6.8,NA,25.2,9.7,NA,5.9,unemployment rates for women
1998,4.6,7.4,7.2,11.9,9.8,15.5,4.2,5.7,NA,5.5,7.6,NA,23.5,8,NA,5.4,unemployment rates for women
1999,4.3,6.7,6.6,11.5,8.9,14.8,4.5,5.1,NA,4.5,6.7,NA,20,6.7,NA,5.2,unemployment rates for women
2000,4.1,6.1,5.8,10.1,8.1,13.6,4.8,3.6,NA,3.9,6,NA,17.5,5.4,NA,4.9,unemployment rates for women
2001,4.7,6.4,6,9.2,7.9,12.1,4.8,3.3,NA,3.1,5.4,NA,15.3,4.7,NA,4.5,unemployment rates for women
2002,5.6,6.2,6.4,8.9,8.3,11.4,5.2,2.8,NA,3.4,5.5,NA,16.4,4.7,NA,4.5,unemployment rates for women
2003,5.7,6,6.3,9.5,8.8,11.4,4.9,3.3,NA,4.2,5.1,NA,16.1,5.2,NA,4.4,unemployment rates for women
2004,5.4,5.5,6,9.9,10,10.6,4.6,3.4,NA,5.1,4.5,NA,15.1,6.1,NA,4.3,unemployment rates for women
2005,5.1,5.2,5.6,9.9,10.9,10.1,4.1,3.4,4,5.6,4.1,NA,12.2,7.5,NA,4.4,unemployment rates for women
2006,4.6,4.9,5.2,9.7,10.2,8.8,4,2.9,4,4.8,4.2,NA,11.6,7.1,9.5,5,unemployment rates for women
2007,4.5,4.8,4.8,8.6,8.8,7.9,4.3,2.6,4.2,4,4,NA,10.9,6.4,9.6,5,unemployment rates for women
2008,5.4,4.6,4.8,7.9,7.7,8.5,4.3,2.6,4.3,3.3,4.2,26.4,13.1,6.3,10.5,5.1,unemployment rates for women
2009,8.1,5.4,6.1,9.4,7.3,9.3,5.2,3,5.6,3.7,6.1,26.2,18.5,7.9,13.3,6.4,unemployment rates for women
2010,8.6,5.4,6.2,9.7,6.5,9.7,5,3.3,5.4,4.5,6.9,27.5,20.6,8.4,12,6.9,unemployment rates for women
2011,8.5,5.3,5.9,9.7,5.6,9.6,4.4,3.1,5.3,4.4,6.7,27.8,22.2,7.6,10.7,7.3,unemployment rates for women
2012,7.9,5.3,5.8,10,5.2,11.9,4.2,3,5.1,5.2,7.3,27.8,25.5,7.6,10,7.4,unemployment rates for women
1970,15.3,NA,NA,7.5,0.4,12.6,2,NA,NA,NA,NA,NA,NA,4.3,NA,NA,unemployment rates for teenagers
1971,16.9,NA,NA,8.9,0.5,12.5,2.2,NA,NA,NA,NA,NA,NA,7.8,NA,NA,unemployment rates for teenagers
1972,16.2,NA,NA,9.9,0.6,17.5,3,NA,NA,NA,NA,NA,NA,8.3,NA,NA,unemployment rates for teenagers
1973,14.5,NA,NA,9.9,0.8,16.5,2.8,NA,NA,NA,NA,NA,NA,6.9,NA,NA,unemployment rates for teenagers
1974,16,NA,NA,10.9,2.3,15.3,2.6,NA,NA,NA,NA,NA,NA,6.6,NA,NA,unemployment rates for teenagers
1975,19.9,NA,NA,13.3,4.5,17.2,3.6,NA,NA,NA,NA,NA,NA,5.6,NA,NA,unemployment rates for teenagers
1976,19,NA,15.9,16.1,4.6,20.1,4,NA,NA,NA,NA,NA,NA,5.5,NA,NA,unemployment rates for teenagers
1977,17.8,NA,17.5,19,4.8,19.1,4.1,NA,NA,NA,NA,NA,15.2,6.9,NA,NA,unemployment rates for teenagers
1978,16.4,17.2,17.9,20,4.1,19.8,4.6,NA,NA,NA,NA,NA,21.4,8,NA,NA,unemployment rates for teenagers
1979,16.1,18.1,16.3,22.8,3.2,21.1,4.8,NA,NA,NA,NA,NA,26.2,7.5,NA,NA,unemployment rates for teenagers
1980,17.8,17.1,16.3,26.5,3.4,20.3,4.1,13.3,NA,NA,NA,NA,34.3,7.6,NA,NA,unemployment rates for teenagers
1981,19.6,15.6,16.2,30.9,5.4,22.2,5.6,12.3,NA,NA,NA,NA,42.1,9.5,NA,NA,unemployment rates for teenagers
1982,23.2,18.4,22.1,24,7.8,25.5,5.6,12.6,NA,NA,NA,NA,46.6,10.7,NA,NA,unemployment rates for teenagers
1983,22.4,23.6,22.4,24.8,8.6,28.3,6.3,11.1,NA,NA,NA,NA,50,10.5,NA,NA,unemployment rates for teenagers
1984,18.9,22.3,20.2,29.8,12.8,29.5,6.9,10.4,NA,NA,NA,NA,54.2,5,NA,22.3,unemployment rates for teenagers
1985,18.6,20.3,18.6,29.2,11.4,30.2,7.2,11.1,NA,NA,NA,NA,54.5,4.6,NA,20.1,unemployment rates for teenagers
1986,18.3,20.1,17,25.7,8.9,33.4,7.3,9.5,NA,NA,11.6,NA,50.9,4.2,NA,20.3,unemployment rates for teenagers
1987,16.9,19.9,14.9,23.4,7.8,33.2,7.8,8.7,NA,21,10.5,NA,48.1,5.9,NA,17.6,unemployment rates for teenagers
1988,15.3,17.4,12.9,20.5,7.6,31.2,7.2,8.3,NA,18.6,13.5,NA,44.6,5.3,NA,13.6,unemployment rates for teenagers
1989,15,14.8,12.5,16.4,6.5,29.9,7,7.8,NA,17.5,16.5,NA,37,5.4,NA,10.6,unemployment rates for teenagers
1990,15.5,16.9,13.8,17.3,5.1,27.3,6.6,9.2,NA,15.5,17.9,NA,35,7.1,NA,12.1,unemployment rates for teenagers
1991,18.7,22.3,16.3,19.2,5,26.7,6.5,9.3,NA,15.7,22.6,NA,32.9,10.7,NA,15.4,unemployment rates for teenagers
1992,20.1,24.6,19,21.3,5,29.5,6.7,10.2,NA,12,23,NA,37,15.8,NA,17,unemployment rates for teenagers
1993,19,23.8,19.3,23.3,5.6,33.4,7.1,11,NA,12.1,22.3,NA,48.4,26.2,NA,19.6,unemployment rates for teenagers
1994,17.6,22.7,17.5,26.8,6,35.4,7.4,9.3,NA,12.4,19.9,NA,51.1,25,NA,19.2,unemployment rates for teenagers
1995,17.3,20.6,17.1,22.4,7,35.6,8.1,7.9,NA,18.6,16.8,NA,48.5,21.2,NA,17.6,unemployment rates for teenagers
1996,16.7,20.8,18.8,25,8.1,35.7,8.9,7.4,NA,17.9,16.4,NA,48.4,22.8,NA,18.3,unemployment rates for teenagers
1997,16,20.3,20.8,25.4,9,35.8,8.9,9.8,NA,14.8,16.9,NA,48.3,24.3,NA,16.9,unemployment rates for teenagers
1998,14.6,19.2,19.7,22.9,8.2,36.7,10.5,20.8,NA,12.1,18,NA,41.7,20.8,NA,16.7,unemployment rates for teenagers
1999,13.9,17.6,17.8,24.2,7.7,36.1,12.2,19.5,NA,11,17.3,NA,35.1,18.3,NA,16.2,unemployment rates for teenagers
2000,13.1,16.1,15.4,21.4,8.1,33.7,11.8,14.5,NA,8.9,17.4,NA,31.6,17.8,NA,16.2,unemployment rates for teenagers
2001,14.7,17.7,15.6,20.2,7.1,30.4,11.9,14.4,NA,6.9,15.9,NA,29.5,16.8,NA,15.6,unemployment rates for teenagers
2002,16.5,16.8,17.2,21.3,8.1,29.2,12.5,12.1,NA,7.8,15.8,NA,30.2,18.7,NA,16.2,unemployment rates for teenagers
2003,17.5,15.7,17.4,23.4,7.6,31.9,11.6,13.1,NA,9.6,14.5,NA,33.1,19.1,NA,17.2,unemployment rates for teenagers
2004,17,15.6,17.2,26.5,9.9,35,11.4,14,NA,10.8,13.2,NA,31,22.7,NA,17.4,unemployment rates for teenagers
2005,16.6,14.9,15.4,26.1,14.9,37.1,9.7,12.6,7.9,11.5,13.3,NA,29.6,32.7,NA,18.3,unemployment rates for teenagers
